last_name,first_name,team,position,height_inches,weight_lbs,pts_per_game,rebounds_per_game,assists_per_game,salary
Curry,Seth,Brooklyn Nets,G,73,185.0,9.2,1.6,1.6,8496500
Curry,Stephen,Golden State Warriors,G,74,185.0,29.4,6.1,6.3,48070014
Daniels,Dyson,New Orleans Pelicans,G,79,199.0,3.8,3.2,2.3,5508600
Davis,Anthony,Los Angeles Lakers,F-C,82,253.0,25.9,12.5,2.6,37980720
Davis,Johnny,Washington Wizards,G,76,195.0,5.8,2.3,1.0,4810320
Davis,Terence,Sacramento Kings,G,76,201.0,6.7,2.2,1.0,4000000
DeRozan,DeMar,Chicago Bulls,G-F,78,220.0,24.5,4.6,5.1,27300000
Dedmon,Dewayne,Philadelphia 76ers,C,82,245.0,5.2,3.5,0.7,580373
Dellavedova,Matthew,Sacramento Kings,G,75,200.0,1.5,0.4,1.3,1836090
DiVincenzo,Donte,Golden State Warriors,G,76,203.0,9.4,4.5,3.5,4500000
Diakite,Mamadi,Cleveland Cavaliers,F,81,228.0,2.6,1.4,0.4,1517981
Diallo,Hamidou,Detroit Pistons,G,77,202.0,9.3,3.5,1.0,5200000
Dieng,Gorgui,San Antonio Spurs,C,82,248.0,3.9,3.5,1.7,622582
Dieng,Ousmane,Oklahoma City Thunder,F,81,185.0,4.9,2.7,1.2,4569840
Dinwiddie,Spencer,Brooklyn Nets,G,77,215.0,17.3,3.4,6.5,19500000
Doncic,Luka,Dallas Mavericks,F-G,79,230.0,32.4,8.6,8.0,37095000
Dort,Luguentz,Oklahoma City Thunder,G,76,220.0,13.7,4.6,2.1,15277778
Dosunmu,Ayo,Chicago Bulls,G,77,200.0,8.6,2.8,2.6,1563518
Dozier,PJ,Sacramento Kings,G-F,78,205.0,1.4,0.9,0.6,539450
Dragic,Goran,Milwaukee Bucks,G,76,190.0,6.3,1.4,2.6,390433
Drummond,Andre,Chicago Bulls,C,83,279.0,6.0,6.6,0.5,3200000
Duarte,Chris,Indiana Pacers,G,77,190.0,7.9,2.5,1.4,3936960
Duke Jr.,David,Brooklyn Nets,G,76,204.0,3.7,1.3,0.9,28241
Dunn,Kris,Utah Jazz,G,75,205.0,13.2,4.5,5.6,735819
Durant,Kevin,Phoenix Suns,F,82,240.0,29.1,6.7,5.0,44119845
Duren,Jalen,Detroit Pistons,C,83,250.0,9.1,8.9,1.1,4124280
Eason,Tari,Houston Rockets,F,80,215.0,9.3,6.0,1.1,3309160
Edwards,Anthony,Minnesota Timberwolves,G,76,225.0,24.6,5.8,4.4,10733400
Edwards,Kessler,Sacramento Kings,F,79,203.0,2.8,1.7,0.6,1637966
Embiid,Joel,Philadelphia 76ers,C-F,84,280.0,33.1,10.2,4.2,33616770
Eubanks,Drew,Portland Trail Blazers,F-C,82,245.0,6.6,5.4,1.3,1836090
Fernando,Bruno,Atlanta Hawks,F-C,82,240.0,3.9,3.5,0.8,2717391
Finney-Smith,Dorian,Brooklyn Nets,F,79,220.0,8.3,4.8,1.5,12939648
Flynn,Malachi,Toronto Raptors,G,73,175.0,4.6,1.4,1.3,2145720
Fontecchio,Simone,Utah Jazz,F,79,209.0,6.3,1.7,0.8,3205128
Fournier,Evan,New York Knicks,G-F,78,205.0,6.1,1.8,1.3,18000000
Fox,De'Aaron,Sacramento Kings,G,75,185.0,25.0,4.2,6.1,28103550
Fultz,Markelle,Orlando Magic,G,76,209.0,14.0,3.9,5.7,16500000
Gabriel,Wenyen,Los Angeles Lakers,F,81,205.0,5.5,4.2,0.5,1878720
Gafford,Daniel,Washington Wizards,F-C,82,234.0,9.0,5.6,1.1,1930681
Gallinari,Danilo,Washington Wizards,F,82,236.0,15.6,4.8,1.9,6479000
Garland,Darius,Cleveland Cavaliers,G,73,192.0,21.6,2.7,7.8,8920795
Garuba,Usman,Houston Rockets,F,80,229.0,3.0,4.1,0.9,2471160
Garza,Luka,Minnesota Timberwolves,C,82,243.0,6.5,2.3,0.6,925258
Gay,Rudy,Utah Jazz,F-G,80,250.0,5.2,2.9,1.0,6184500
George,Paul,LA Clippers,F,80,220.0,23.8,6.1,5.1,42492492
Gibson,Taj,Washington Wizards,F,81,232.0,3.4,1.9,0.7,1836090
Giddey,Josh,Oklahoma City Thunder,G,80,216.0,16.6,7.9,6.2,6287280
Gilgeous-Alexander,Shai,Oklahoma City Thunder,G,78,195.0,31.4,4.8,5.5,30913750
Gill,Anthony,Washington Wizards,F,80,230.0,3.3,1.7,0.6,1836090
Gobert,Rudy,Minnesota Timberwolves,C,85,258.0,13.4,11.6,1.2,38172414
Goodwin,Jordan,Washington Wizards,G,75,200.0,6.6,3.3,2.7,900000
Gordon,Aaron,Denver Nuggets,F,80,235.0,16.3,6.6,3.0,19690909
Gordon,Eric,LA Clippers,G,75,215.0,12.4,1.9,2.7,19568360
Graham,Devonte',San Antonio Spurs,G,73,195.0,7.4,1.7,2.7,11550000
Grant,Jerami,Portland Trail Blazers,F,80,210.0,20.5,4.5,2.4,20955000
Green,Danny,Cleveland Cavaliers,G,78,215.0,5.5,1.3,0.5,2000000
Green,Draymond,Golden State Warriors,F,78,230.0,8.5,7.2,6.8,25806468
Green,JaMychal,Golden State Warriors,F-C,81,227.0,6.4,3.6,0.9,1836090
Green,Jalen,Houston Rockets,G,76,186.0,22.1,3.7,3.7,9441840
Green,Javonte,Chicago Bulls,G,77,205.0,5.2,2.8,0.7,1815677
Green,Jeff,Denver Nuggets,F,80,235.0,7.8,2.6,1.2,4500000
Green,Josh,Dallas Mavericks,G,79,200.0,9.1,3.0,1.7,3098400
Griffin,AJ,Atlanta Hawks,F,78,220.0,8.9,2.1,1.0,3536160
Griffin,Blake,Boston Celtics,F,81,250.0,4.1,3.8,1.5,1836090
Grimes,Quentin,New York Knicks,G,77,210.0,11.3,3.2,2.1,2277000
Hachimura,Rui,Los Angeles Lakers,F,80,230.0,11.2,4.5,0.9,6263188
Haliburton,Tyrese,Indiana Pacers,G,77,185.0,20.7,3.7,10.4,4215120
Hampton,R.J.,Detroit Pistons,G,76,175.0,6.4,1.9,1.1,485403
