player,salary,height_inches
LeBron James,37436858,80
Anthony Davis,27093019,82
Danny Green,14634146,78
Kentavious Caldwell-Pope,8089282,77
Avery Bradley,4767000,74
JaVale McGee,4000000,84
DeMarcus Cousins,3500000,83
Quinn Cook,3000000,74
Alex Caruso,2750000,77
Jared Dudley,2564753,79
Dwight Howard,2564753,83
Rajon Rondo,2564753,73
Troy Daniels,2028594,76
Kyle Kuzma,1974600,81
Talen Horton-Tucker,898310,76
