participant_id,minutes_spent_sleeping
20180201181498,690
20180403181465,540
20180605180733,605
20180101180872,480
20180302181764,900
20181111182154,585
20181211182404,210
20180112171868,630
20180909180076,340
20180605181815,690
20181110182362,480
20180402181074,510
20180301180763,635
20180403180909,455
20180403182495,435
20180302180063,600
20180707180969,498
20181110181371,810
20180403181079,300
20180302181694,530
20180404182112,600
20180402181819,715
20180302180003,660
20180403180538,330
20181211181446,645
20181008181427,721
20181010181119,540
20180201181050,600
20180302181362,630
20181010181504,600
20180807181255,480
20180504181004,440
20180706180627,530
20180908181810,429
20181110182052,660
20180504181872,570
20180706182265,600
20180909182157,525
20180101180919,540
20181009181983,480
20181110181000,773
