participant_id,minutes_spent_sleeping
20180101180006,480
20180101180021,450
20180101180025,845
20180101180054,615
20180101180096,480
20180101180108,540
20180101180146,500
20180101180519,435
20180101180521,889
20180101180555,580
20180101180623,350
20180101180685,540
20180101180691,525
20180101180710,567
20180101180735,460
20180101180744,560
20180101180752,480
20180101180759,1085
20180101180790,549
20180101180797,720
