council_district,total_appr,finished_area,year
34,756400.0,4322.75,2009
4,253100.0,1775.0,2009
33,102600.0,1113.0,2009
8,191300.0,2129.0,2009
23,74800.0,720.0,2009
27,105800.0,1236.0,2009
24,421700.0,2562.0,2009
15,91400.0,808.0,2009
24,80800.0,0.0,2009
35,266400.0,3171.0,2009
19,252400.0,1496.0,2009
8,137400.0,1650.0,2009
9,143700.0,1868.5,2009
34,803900.0,4999.45996,2009
6,356400.0,2413.0,2009
24,289700.0,1506.0,2009
25,154200.0,976.0,2009
34,590900.0,3785.0,2009
26,95100.0,1500.0,2009
25,345000.0,2181.0,2009
13,93100.0,950.0,2009
11,104500.0,1036.0,2009
14,150300.0,1726.38,2009
13,111500.0,1677.0,2009
16,138500.0,1541.0,2009
26,122900.0,1419.0,2009
35,178000.0,1604.0,2009
25,307600.0,2453.4299300000002,2009
13,149400.0,2257.19995,2009
26,127700.0,1702.0,2009
26,208200.0,1525.0,2009
11,148100.0,1415.0,2009
16,100400.0,978.0,2009
35,233500.0,2855.0,2009
35,222700.0,1831.0,2009
1,148500.0,1678.0,2009
6,131000.0,1427.0,2009
1,89500.0,1950.0,2009
5,81100.0,1120.0,2009
24,208200.0,1072.0,2009
22,255500.0,2784.0,2009
33,119800.0,1374.0,2009
5,178500.0,1758.0,2009
31,106700.0,1242.0,2009
24,809700.0,3480.0,2009
20,93600.0,900.0,2009
33,182600.0,2889.0,2009
4,376100.0,3767.0,2009
6,48000.0,644.0,2009
15,108600.0,1276.0,2009
14,79000.0,1240.0,2009
29,119500.0,1819.0,2009
26,21600.0,728.0,2009
20,169600.0,1636.0,2009
32,114400.0,1208.0,2009
34,155800.0,1524.0,2009
29,70800.0,1480.0,2009
31,126200.0,988.0,2009
16,136600.0,1908.0,2009
22,243200.0,2284.0,2009
9,137000.0,1694.0,2009
13,108500.0,1210.0,2009
4,395800.0,3882.0,2009
34,294200.0,2524.0,2009
9,169000.0,2124.0,2009
4,180300.0,1715.0,2009
28,98500.0,1050.0,2009
22,156400.0,1776.0,2009
27,25700.0,780.0,2009
28,120400.0,1786.0,2009
31,191300.0,2368.0,2009
32,122700.0,1632.0,2009
22,107700.0,1092.0,2009
21,32700.0,560.0,2009
4,373300.0,4494.0,2009
9,53000.0,896.0,2009
4,285600.0,3071.0,2009
7,126200.0,1346.0,2009
6,195700.0,1506.0,2009
27,182700.0,1841.0,2009
34,744600.0,4180.0,2009
17,108400.0,625.0,2009
22,164700.0,1622.0,2009
33,112300.0,1050.0,2009
12,237600.0,2628.75,2009
29,117100.0,1875.0,2009
8,83000.0,1024.0,2009
34,180400.0,1875.0,2009
14,141300.0,1650.0,2009
23,357300.0,2940.0,2009
13,95600.0,1559.91003,2009
23,139400.0,1916.0,2009
4,276200.0,2158.0,2009
24,133800.0,736.0,2009
35,206100.0,2021.0,2009
16,106600.0,1292.0,2009
34,966300.0,5808.9502,2009
12,170500.0,2052.0,2009
19,10800.0,595.0,2009
18,543800.0,3092.0,2009
31,137800.0,1624.0,2009
16,70700.0,816.0,2009
25,388900.0,1681.0,2009
30,84300.0,960.0,2009
25,305700.0,1294.0,2009
18,412600.0,3887.86011,2009
18,261900.0,1377.0,2009
12,159300.0,2236.0,2009
33,122300.0,1321.0,2009
1,72000.0,840.0,2009
26,297100.0,3011.04004,2009
22,166900.0,1804.0,2009
24,414900.0,2101.5,2009
22,166900.0,1414.0,2009
22,202400.0,1720.0,2009
30,109800.0,1000.0,2009
5,91700.0,1132.0,2009
6,90200.0,1274.0,2009
32,65100.0,1284.0,2009
29,152800.0,1887.0,2009
12,169700.0,1895.0,2009
30,99700.0,950.0,2009
29,129200.0,2332.0,2009
5,96200.0,1364.0,2009
5,123000.0,1200.0,2009
25,370300.0,1220.0,2009
29,101500.0,1650.0,2009
2,88600.0,1568.0,2009
12,141600.0,1779.0,2009
3,137800.0,1564.0,2009
30,94100.0,950.0,2009
11,72000.0,805.0,2009
26,21600.0,728.0,2009
15,106000.0,1314.0,2009
22,347300.0,2768.0,2009
11,124100.0,1253.0,2009
6,210900.0,1732.5,2009
8,101000.0,1472.0,2009
27,140000.0,1450.0,2009
13,107400.0,1207.0,2009
28,116200.0,2450.0,2009
8,208400.0,1624.5,2009
23,328200.0,2668.0,2009
6,68600.0,774.0,2009
3,58700.0,945.0,2009
26,101200.0,1050.0,2009
35,168300.0,2296.0,2009
8,93000.0,1104.0,2009
4,275400.0,4395.47998,2009
23,166000.0,1444.0,2009
31,89500.0,1126.0,2009
18,293700.0,1300.0,2009
31,169700.0,1604.0,2009
5,99700.0,1406.0,2009
31,125400.0,988.0,2009
10,187400.0,2304.0,2009
13,80000.0,768.0,2009
28,109200.0,1405.0,2009
26,106300.0,1500.0,2009
16,138800.0,1496.0,2009
4,265300.0,2042.0,2009
9,81200.0,1209.0,2009
24,216400.0,1274.0,2009
17,500500.0,3020.80005,2009
25,258100.0,1792.0,2009
3,46600.0,1075.0,2009
25,304600.0,1578.0,2009
13,115800.0,1260.0,2009
10,107100.0,1100.0,2009
5,106700.0,1563.0,2009
21,235000.0,1309.0,2009
27,139800.0,1564.0,2009
33,101300.0,1257.0,2009
23,293300.0,2163.0,2009
6,140000.0,1161.0,2009
6,155300.0,1367.0,2009
6,200400.0,2518.5,2009
12,90200.0,1100.0,2009
26,103100.0,1650.0,2009
10,186700.0,1682.0,2009
28,102900.0,1300.0,2009
23,408400.0,3661.75,2009
12,234600.0,2274.0,2009
18,124000.0,1134.0,2009
10,138000.0,1495.04004,2009
29,118700.0,1894.0,2009
10,161400.0,2364.0,2009
16,145300.0,1707.0,2009
20,169800.0,2242.0,2009
27,145700.0,1768.0,2009
21,50800.0,750.0,2009
21,64500.0,1370.0,2009
6,168200.0,2370.0,2009
10,137600.0,1300.0,2009
5,71200.0,962.0,2009
30,149400.0,2249.0,2009
11,133400.0,1874.5,2009
11,139500.0,1491.0,2009
7,150800.0,2403.0,2009
15,93700.0,798.0,2009
34,419500.0,2515.0,2009
21,355800.0,2182.0,2009
13,150600.0,1806.5,2009
4,340600.0,2974.0,2009
28,135700.0,2000.0,2009
12,208700.0,1983.75,2009
34,466000.0,3846.25,2009
12,141900.0,1316.0,2009
22,203800.0,1800.0,2009
23,150000.0,935.0,2009
29,153800.0,1840.0,2009
24,175200.0,1054.0,2009
30,110400.0,1032.0,2009
1,135600.0,2333.8999,2009
17,177700.0,1269.0,2009
12,127700.0,1406.0,2009
27,84600.0,1247.0,2009
16,113600.0,1408.0,2009
22,158100.0,1403.0,2009
21,74700.0,875.0,2009
25,631800.0,3098.25,2009
9,90900.0,1164.0,2009
31,232500.0,3308.0,2009
31,110500.0,1320.0,2009
25,377900.0,2355.88989,2009
34,758400.0,3335.0,2009
29,95700.0,1520.0,2009
25,639300.0,3225.0,2009
24,177500.0,1138.0,2009
31,163700.0,2446.0,2009
35,256800.0,2467.0,2009
21,113800.0,750.0,2009
26,172100.0,1125.0,2009
6,117100.0,1129.0,2009
4,295600.0,3141.0,2009
20,101900.0,912.0,2009
26,240100.0,1969.0,2009
34,386100.0,1247.0,2009
4,140500.0,1244.0,2009
24,460400.0,2840.0,2009
11,132700.0,1874.25,2009
18,100300.0,552.0,2009
34,569500.0,4399.0,2009
15,146800.0,1301.0,2009
20,61000.0,630.0,2009
30,119300.0,1852.0,2009
24,754900.0,4356.0,2009
22,174500.0,1559.0,2009
15,135900.0,1702.0,2009
33,136100.0,1664.0,2009
29,132200.0,1546.0,2009
9,127300.0,2080.0,2009
23,744100.0,2803.5,2009
4,260600.0,2313.0,2009
14,130500.0,1670.25,2009
17,459300.0,2646.0,2009
19,257100.0,837.0,2009
14,135200.0,1688.0,2009
23,167000.0,1316.0,2009
3,62500.0,967.0,2009
27,133800.0,1252.0,2009
35,225100.0,1855.0,2009
11,182800.0,2208.0,2009
32,114400.0,1208.0,2009
21,39900.0,960.0,2009
34,767200.0,3531.0,2009
20,122500.0,1128.0,2009
3,48300.0,768.0,2009
29,133000.0,1814.0,2009
26,209400.0,1461.0,2009
11,276100.0,3072.0,2009
17,177000.0,1779.0,2009
18,101700.0,600.0,2009
19,112400.0,854.0,2009
24,809000.0,3232.68262,2009
31,104500.0,1474.0,2009
1,162800.0,2707.0,2009
4,266000.0,1973.0,2009
33,128700.0,1301.0,2009
9,104000.0,984.0,2009
8,86700.0,1126.0,2009
18,101700.0,600.0,2009
12,143100.0,1434.0,2009
1,84800.0,1073.0,2009
15,199400.0,2589.0,2009
33,96000.0,1224.0,2009
9,70400.0,930.0,2009
4,307400.0,2753.0,2009
32,166200.0,2197.0,2009
9,157900.0,1633.0,2009
23,453500.0,3702.5,2009
31,171800.0,1280.0,2009
5,93100.0,1290.0,2009
3,111200.0,1255.0,2009
21,64400.0,912.0,2009
24,174700.0,1116.0,2009
34,493500.0,3213.0,2009
6,134400.0,1431.0,2009
32,105300.0,1452.0,2009
27,112100.0,1100.0,2009
21,74600.0,1012.0,2009
34,439900.0,1822.0,2009
26,69300.0,1536.0,2009
16,102200.0,1056.0,2009
10,97000.0,1296.0,2009
8,146000.0,1290.0,2009
22,181300.0,1902.0,2009
9,139500.0,1161.0,2009
33,147200.0,1894.0,2009
1,96100.0,1680.0,2009
20,119100.0,999.0,2009
28,117100.0,1213.0,2009
21,122200.0,1188.0,2009
20,146400.0,1748.0,2009
14,141100.0,1392.0,2009
8,213800.0,2127.0,2009
24,310800.0,1837.0,2009
26,118900.0,1321.0,2009
14,130300.0,1800.0,2009
33,154900.0,1977.0,2009
2,95600.0,1072.0,2009
28,114500.0,1681.0,2009
33,260300.0,3035.0,2009
11,76000.0,910.0,2009
1,80900.0,1418.0,2009
12,179400.0,1879.0,2009
23,145200.0,1244.0,2009
24,159900.0,977.0,2009
21,297000.0,1024.0,2009
2,100500.0,1897.5,2009
31,232300.0,2936.0,2009
3,77400.0,1336.0,2009
27,152300.0,1585.0,2009
35,229500.0,2086.0,2009
4,278600.0,2532.0,2009
29,82300.0,1066.0,2009
13,148200.0,1428.0,2009
2,84600.0,1172.0,2009
13,154300.0,1536.0,2009
7,146700.0,1500.0,2009
2,77200.0,1215.0,2009
28,218900.0,4451.0,2009
15,121900.0,1301.0,2009
3,135700.0,1008.0,2009
22,124800.0,2188.16992,2009
12,213100.0,2407.0,2009
22,136400.0,1300.0,2009
2,80000.0,1009.0,2009
11,654000.0,3058.08008,2009
11,105800.0,1310.0,2009
30,87100.0,1134.0,2009
35,183500.0,2036.0,2009
12,137100.0,1229.0,2009
19,89500.0,0.0,2009
6,157500.0,1617.0,2009
28,100800.0,1569.5,2009
4,236400.0,1362.0,2009
20,126200.0,1208.0,2009
22,130700.0,1482.0,2009
21,417900.0,1528.0,2009
7,76600.0,1096.0,2009
1,263900.0,2700.0,2009
32,105600.0,1560.0,2009
28,132100.0,2112.0,2009
33,108000.0,1157.0,2009
33,152300.0,1884.0,2009
4,321900.0,1906.0,2009
3,84100.0,1176.0,2009
28,103000.0,1075.0,2009
7,199600.0,1461.0,2009
11,293000.0,2780.05005,2009
32,110100.0,1602.0,2009
23,148900.0,1009.0,2009
2,88100.0,1050.0,2009
34,460200.0,2266.0,2009
20,76800.0,672.0,2009
32,181500.0,2639.75,2009
34,528400.0,3585.7124,2009
34,432300.0,2978.04004,2009
34,395400.0,2326.0,2009
4,186000.0,1964.0,2009
32,107700.0,1416.0,2009
35,294000.0,1662.0,2009
30,86300.0,988.0,2009
25,1075100.0,4467.0,2009
11,364300.0,1982.0,2009
10,106600.0,1375.5,2009
19,167100.0,828.0,2009
25,664300.0,3362.0,2009
6,111200.0,1487.0,2009
20,144200.0,1424.0,2009
23,150800.0,1321.0,2009
24,283000.0,1676.0,2009
20,97500.0,1170.0,2009
14,147100.0,1520.0,2009
22,346700.0,4414.0,2009
33,141200.0,1833.0,2009
17,209900.0,1274.0,2009
31,159100.0,1605.0,2009
4,200200.0,1660.0,2009
21,55000.0,800.0,2009
18,635600.0,3272.5,2009
16,176700.0,1915.14001,2009
8,53100.0,850.0,2009
13,198400.0,2294.0,2009
1,92800.0,1527.25,2009
30,111800.0,1576.38,2009
