Permit #,Contact,Permit Type Description,Permit Subtype Description,Date Entered,Date Issued,wait_time
2019033773,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-06-07,2019-06-21,14
2019055685,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-13,2019-09-24,11
2019055684,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-13,2019-09-24,11
2020015667,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-03-10,2020-03-24,14
2018063348,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2018-10-04,2018-11-06,33
2020012208,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-02-25,2020-03-24,28
2020014008,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-03-04,2020-03-24,20
2020012200,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-02-25,2020-03-24,28
2020016376,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-03-12,2020-03-24,12
2019066151,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-29,2019-11-06,8
2019043873,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-07-24,2019-08-02,9
2019045915,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-01,2019-08-02,1
2019045967,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-01,2019-08-02,1
2019036199,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-06-19,2019-06-25,6
2019036942,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-06-21,2019-06-26,5
2019039558,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-07-03,2019-08-02,30
2019023204,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-04-22,2019-06-26,65
2020015682,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-03-10,2020-03-24,14
2020007921,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2020-02-05,2020-02-14,9
2019064203,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-21,2019-11-06,16
2020006262,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2020-01-29,2020-02-14,16
2019078324,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-12-26,2019-12-26,0
2018015388,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2018-03-20,2018-04-06,17
2019078328,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-12-26,2019-12-26,0
2019066162,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-29,2019-11-06,8
2019064202,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-21,2019-11-06,16
2019066868,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-10-31,2019-11-06,6
2019066867,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-10-31,2019-11-06,6
2019066948,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-10-31,2019-11-06,6
2019062962,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-10-15,2019-11-06,22
2019036705,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-06-20,2019-07-01,11
2019066147,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-29,2019-11-06,8
2019055693,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-13,2019-09-26,13
2019055688,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-13,2019-09-26,13
2019055983,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-09-16,2019-09-26,10
2019056292,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-09-17,2019-09-26,9
2019045755,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-07-31,2019-09-26,57
2019055691,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-13,2019-09-26,13
2019038244,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-06-27,2019-07-02,5
2019038239,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-06-27,2019-07-02,5
2019038242,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-06-27,2019-07-02,5
2019038246,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-06-27,2019-07-02,5
2019037613,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-06-25,2019-06-28,3
2019064199,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-21,2019-11-06,16
2019066862,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-10-31,2019-11-06,6
2019066136,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-29,2019-11-06,8
2019066138,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-29,2019-11-06,8
2017058262,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2017-09-07,2017-10-20,43
2019064205,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-21,2019-11-06,16
2019066939,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-10-31,2019-11-06,6
2019066149,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-29,2019-11-06,8
2019066159,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-29,2019-11-06,8
2019066949,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-10-31,2019-11-06,6
2019064197,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-10-21,2019-11-06,16
2019066929,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-10-31,2019-11-06,6
2019045072,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-07-30,2019-11-06,99
2019066935,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-10-31,2019-11-06,6
2018077475,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2018-12-12,2018-12-20,8
2020008815,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2020-02-10,2020-02-14,4
2019062957,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-10-15,2019-11-06,22
2019049451,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-08-16,2019-11-06,82
2020008816,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2020-02-10,2020-02-14,4
2019037616,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-06-25,2019-06-28,3
2020012256,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-02-25,2020-03-25,29
2020012261,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2020-02-25,2020-03-25,29
2020008814,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2020-02-10,2020-02-14,4
2019056509,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2018079399,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2018-12-20,2018-12-27,7
2019056504,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2019002957,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-01-16,2019-07-12,177
2018016141,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2018-03-22,2018-04-06,15
2019056493,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2019056462,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2019002961,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-01-16,2019-07-12,177
2019056458,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2019056512,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2019056496,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2019056456,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2019056518,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2019056457,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2019056516,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2019056463,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-09-17,2019-09-30,13
2019076569,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2019-12-16,2019-12-30,14
2019047638,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-08,2019-08-09,1
2019047658,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-08,2019-08-09,1
2019047689,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-08,2019-08-09,1
2019047632,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-08,2019-08-09,1
2019047697,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-08,2019-08-09,1
2019047693,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-08,2019-08-09,1
2019047673,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-08,2019-08-09,1
2019047666,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-08,2019-08-09,1
2019047695,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-08,2019-08-09,1
2018050489,OLE SOUTH PROPERTIES INC,Building Residential - New,Single Family Residence,2018-08-22,2018-08-28,6
2019047592,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-08,2019-08-09,1
2019047700,HIGHLAND HOMES LLC,Building Residential - New,Single Family Residence,2019-08-08,2019-08-09,1
2019039551,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-07-03,2019-07-18,15
2019041858,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-07-15,2019-07-18,3
2019041862,REGENT HOMES LLC,Building Residential - New,Single Family Residence,2019-07-15,2019-07-18,3
2019039547,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-07-03,2019-07-18,15
2019039519,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-07-03,2019-07-18,15
2019021742,BEAZER HOMES CORP,Building Residential - New,Single Family Residence,2019-04-15,2019-04-24,9
2019001198,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-01-08,2019-05-09,121
2019043609,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-07-23,2019-10-01,70
2019043594,LEGACY SOUTH BUILDERS LLC,Building Residential - New,Single Family Residence,2019-07-23,2019-10-01,70
2019038683,PARAGON GROUP LLC,Building Residential - New,Single Family Residence,2019-06-28,2019-08-14,47
