Accident Number,Date and Time,Number of Injuries,Hit and Run,Collision Type Description
20181075301,12/31/2018 10:55:00 PM,1,Y,Front to Rear
20181075381,12/31/2018 10:20:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181075388,12/31/2018 09:50:00 PM,0,Y,HEAD-ON
20181075143,12/31/2018 09:26:00 PM,0,N,Front to Rear
20181075122,12/31/2018 08:57:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181074965,12/31/2018 06:59:00 PM,0,N,Front to Rear
20181075047,12/31/2018 06:21:00 PM,0,N,Front to Rear
20181074826,12/31/2018 05:57:00 PM,1,Y,Front to Rear
20181074825,12/31/2018 05:50:00 PM,0,Y,Front to Rear
20181074848,12/31/2018 05:33:00 PM,0,N,Front to Rear
20181074801,12/31/2018 05:16:00 PM,1,N,Front to Rear
20181074711,12/31/2018 04:55:00 PM,0,Y,Front to Rear
20181074704,12/31/2018 04:52:00 PM,1,N,Front to Rear
20181074721,12/31/2018 04:34:00 PM,0,Y,HEAD-ON
20181074653,12/31/2018 04:19:00 PM,3,N,Front to Rear
20181074715,12/31/2018 04:16:00 PM,0,N,Front to Rear
20181074563,12/31/2018 03:28:00 PM,0,N,Front to Rear
20181074469,12/31/2018 02:40:00 PM,0,N,Front to Rear
20181074435,12/31/2018 02:05:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181074430,12/31/2018 01:59:00 PM,0,N,Front to Rear
20181074406,12/31/2018 01:45:00 PM,1,N,Front to Rear
20181074382,12/31/2018 01:38:00 PM,0,Y,Front to Rear
20181074317,12/31/2018 01:04:00 PM,0,N,Front to Rear
20181074310,12/31/2018 12:59:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181074275,12/31/2018 12:50:00 PM,0,N,Front to Rear
20181074251,12/31/2018 12:28:00 PM,0,N,Front to Rear
20181074240,12/31/2018 12:23:00 PM,0,N,Front to Rear
20181074170,12/31/2018 11:40:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181074145,12/31/2018 11:18:00 AM,0,N,Front to Rear
20181073704,12/31/2018 06:46:00 AM,1,N,Front to Rear
20181073411,12/31/2018 02:50:00 AM,0,Y,Front to Rear
20181073406,12/31/2018 02:00:00 AM,0,Y,Front to Rear
20181073301,12/31/2018 01:34:00 AM,0,N,Front to Rear
20181073189,12/31/2018 12:38:00 AM,0,Y,SIDESWIPE - SAME DIRECTION
20181073239,12/31/2018 12:33:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181074686,12/31/2018 12:00:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181074617,12/31/2018 12:00:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181073186,12/30/2018 11:50:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181073108,12/30/2018 11:25:00 PM,0,Y,Front to Rear
20181073115,12/30/2018 11:05:00 PM,0,Y,Front to Rear
20181073073,12/30/2018 10:34:00 PM,0,N,Front to Rear
20181073080,12/30/2018 10:01:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181072997,12/30/2018 09:27:00 PM,2,Y,Front to Rear
20181072976,12/30/2018 09:14:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181072995,12/30/2018 09:05:00 PM,1,N,Front to Rear
20181072675,12/30/2018 06:00:00 PM,0,N,Front to Rear
20181072783,12/30/2018 05:06:00 PM,3,N,HEAD-ON
20181072589,12/30/2018 04:43:00 PM,0,Y,Front to Rear
20181072475,12/30/2018 03:50:00 PM,0,N,Front to Rear
20181072464,12/30/2018 03:46:00 PM,0,N,Front to Rear
20181072364,12/30/2018 02:59:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181072225,12/30/2018 12:55:00 PM,0,N,Front to Rear
20181072240,12/30/2018 12:48:00 PM,0,N,Front to Rear
20181072215,12/30/2018 12:47:00 PM,0,N,Front to Rear
20181072213,12/30/2018 12:42:00 PM,1,N,Front to Rear
20181072209,12/30/2018 12:35:00 PM,1,N,Front to Rear
20181072147,12/30/2018 11:40:00 AM,0,N,Front to Rear
20181072082,12/30/2018 10:27:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181071870,12/30/2018 07:20:00 AM,0,Y,Front to Rear
20181071982,12/30/2018 03:00:00 AM,0,Y,Front to Rear
20181071460,12/30/2018 01:55:00 AM,0,Y,HEAD-ON
20181071062,12/29/2018 09:20:00 PM,1,Y,HEAD-ON
20181071059,12/29/2018 09:20:00 PM,1,N,HEAD-ON
20181070738,12/29/2018 06:00:00 PM,2,N,Front to Rear
20181070616,12/29/2018 04:38:00 PM,1,N,Front to Rear
20181070655,12/29/2018 04:35:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181070511,12/29/2018 03:30:00 PM,3,N,SIDESWIPE - SAME DIRECTION
20181070429,12/29/2018 02:31:00 PM,0,N,Front to Rear
20181070396,12/29/2018 01:53:00 PM,2,Y,Front to Rear
20181070386,12/29/2018 01:52:00 PM,0,Y,Front to Rear
20181070373,12/29/2018 01:44:00 PM,0,N,Front to Rear
20181070320,12/29/2018 12:55:00 PM,1,N,Front to Rear
20181070376,12/29/2018 12:51:00 PM,1,N,Front to Rear
20181070302,12/29/2018 12:41:00 PM,3,N,HEAD-ON
20181070347,12/29/2018 12:40:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181070340,12/29/2018 12:25:00 PM,0,N,Front to Rear
20181070308,12/29/2018 12:22:00 PM,0,N,Front to Rear
20181070249,12/29/2018 12:06:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181070227,12/29/2018 11:48:00 AM,1,Y,Front to Rear
20181070211,12/29/2018 11:30:00 AM,1,N,Front to Rear
20181070265,12/29/2018 11:30:00 AM,0,N,Front to Rear
20181070145,12/29/2018 10:45:00 AM,0,N,Front to Rear
20181070369,12/29/2018 12:00:00 AM,0,N,Front to Rear
20181070218,12/29/2018 12:00:00 AM,1,N,Front to Rear
20181069169,12/28/2018 11:25:00 PM,0,Y,Front to Rear
20181069150,12/28/2018 11:17:00 PM,1,Y,Front to Rear
20181069151,12/28/2018 11:10:00 PM,2,N,Front to Rear
20181069106,12/28/2018 10:03:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181069002,12/28/2018 09:29:00 PM,0,Y,Front to Rear
20181069201,12/28/2018 09:00:00 PM,0,N,Front to Rear
20181068824,12/28/2018 08:00:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068914,12/28/2018 07:46:00 PM,1,N,SIDESWIPE - SAME DIRECTION
20181068840,12/28/2018 07:41:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068766,12/28/2018 07:16:00 PM,0,N,Front to Rear
20181068803,12/28/2018 06:56:00 PM,0,N,Front to Rear
20181068733,12/28/2018 06:50:00 PM,0,N,Front to Rear
20181068755,12/28/2018 06:47:00 PM,0,N,Front to Rear
20181068719,12/28/2018 06:47:00 PM,0,N,Front to Rear
20181068711,12/28/2018 06:45:00 PM,0,N,Front to Rear
20181068690,12/28/2018 06:20:00 PM,0,N,Front to Rear
20181068896,12/28/2018 06:18:00 PM,0,Y,Front to Rear
20181068626,12/28/2018 06:00:00 PM,1,N,Front to Rear
20181068645,12/28/2018 05:56:00 PM,0,N,Front to Rear
20181068635,12/28/2018 05:50:00 PM,0,N,Front to Rear
20181068641,12/28/2018 05:49:00 PM,1,N,Front to Rear
20181068624,12/28/2018 05:44:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068606,12/28/2018 05:35:00 PM,4,N,Front to Rear
20181068596,12/28/2018 05:21:00 PM,0,Y,Front to Rear
20181068574,12/28/2018 05:16:00 PM,0,N,Front to Rear
20181068640,12/28/2018 05:15:00 PM,0,N,Front to Rear
20181068555,12/28/2018 05:10:00 PM,1,N,Front to Rear
20181068682,12/28/2018 05:10:00 PM,0,N,Front to Rear
20181068548,12/28/2018 05:08:00 PM,0,Y,Front to Rear
20181068598,12/28/2018 05:00:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068586,12/28/2018 04:40:00 PM,0,N,Front to Rear
20181068440,12/28/2018 04:08:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068433,12/28/2018 03:49:00 PM,0,N,Front to Rear
20181068398,12/28/2018 03:43:00 PM,0,N,Front to Rear
20181068390,12/28/2018 03:32:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068323,12/28/2018 03:14:00 PM,1,N,Front to Rear
20181068521,12/28/2018 03:09:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181068329,12/28/2018 02:35:00 PM,1,N,HEAD-ON
20181068349,12/28/2018 02:21:00 PM,0,N,Front to Rear
20181068299,12/28/2018 02:15:00 PM,0,Y,Front to Rear
20181068244,12/28/2018 02:12:00 PM,2,N,Front to Rear
20181068312,12/28/2018 02:00:00 PM,0,N,Front to Rear
20181068200,12/28/2018 01:54:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068192,12/28/2018 01:50:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181068193,12/28/2018 01:42:00 PM,0,N,Front to Rear
20181068172,12/28/2018 01:41:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181068396,12/28/2018 01:30:00 PM,0,Y,Front to Rear
20181068139,12/28/2018 01:23:00 PM,0,N,Front to Rear
20181068120,12/28/2018 01:12:00 PM,1,N,Front to Rear
20181068197,12/28/2018 01:03:00 PM,0,N,Front to Rear
20181068155,12/28/2018 01:02:00 PM,0,N,Front to Rear
20181067924,12/28/2018 11:50:00 AM,0,N,Front to Rear
20181067934,12/28/2018 11:30:00 AM,0,N,Front to Rear
20181067929,12/28/2018 11:30:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181067863,12/28/2018 11:25:00 AM,1,N,SIDESWIPE - SAME DIRECTION
20181067612,12/28/2018 09:00:00 AM,0,Y,Front to Rear
20181067604,12/28/2018 08:43:00 AM,0,N,Front to Rear
20181067498,12/28/2018 08:16:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181067442,12/28/2018 08:00:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181067401,12/28/2018 07:25:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181067380,12/28/2018 07:10:00 AM,0,Y,SIDESWIPE - SAME DIRECTION
20181067350,12/28/2018 05:55:00 AM,0,N,Front to Rear
20181067170,12/28/2018 03:15:00 AM,0,N,Front to Rear
20181068553,12/28/2018 12:00:00 AM,0,N,Front to Rear
20181068562,12/28/2018 12:00:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181067709,12/28/2018 12:00:00 AM,0,Y,SIDESWIPE - SAME DIRECTION
20181066963,12/27/2018 11:14:00 PM,0,Y,Front to Rear
20181066821,12/27/2018 10:44:00 PM,1,N,Front to Rear
20181066736,12/27/2018 08:49:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181066781,12/27/2018 08:46:00 PM,0,N,Front to Rear
20181066515,12/27/2018 07:42:00 PM,2,Y,Front to Rear
20181066277,12/27/2018 05:25:00 PM,0,N,Front to Rear
20181066276,12/27/2018 05:20:00 PM,0,N,Front to Rear
20181066239,12/27/2018 04:57:00 PM,0,N,Front to Rear
20181066181,12/27/2018 04:53:00 PM,0,N,Front to Rear
20181066120,12/27/2018 04:29:00 PM,1,N,SIDESWIPE - SAME DIRECTION
20181066132,12/27/2018 04:23:00 PM,0,N,Front to Rear
20181066072,12/27/2018 04:09:00 PM,0,Y,Front to Rear
20181066062,12/27/2018 04:01:00 PM,0,N,Front to Rear
20181066011,12/27/2018 03:44:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181066320,12/27/2018 03:25:00 PM,0,N,HEAD-ON
20181065951,12/27/2018 03:16:00 PM,0,N,Front to Rear
20181065905,12/27/2018 02:54:00 PM,0,Y,Front to Rear
20181065891,12/27/2018 02:48:00 PM,1,N,Front to Rear
20181065860,12/27/2018 02:29:00 PM,2,N,Front to Rear
20181065787,12/27/2018 01:50:00 PM,0,N,Front to Rear
20181065675,12/27/2018 12:45:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181065501,12/27/2018 11:10:00 AM,0,N,Front to Rear
20181065498,12/27/2018 11:00:00 AM,0,N,Front to Rear
20181065397,12/27/2018 10:15:00 AM,0,N,Front to Rear
20181065364,12/27/2018 10:04:00 AM,0,Y,Front to Rear
20181065329,12/27/2018 09:40:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181065275,12/27/2018 09:23:00 AM,0,N,Front to Rear
20181065225,12/27/2018 08:47:00 AM,0,N,Front to Rear
20181065177,12/27/2018 08:29:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181065168,12/27/2018 08:26:00 AM,1,N,Front to Rear
20181065109,12/27/2018 07:55:00 AM,0,N,Front to Rear
20181065069,12/27/2018 07:15:00 AM,0,N,Front to Rear
20181065017,12/27/2018 06:31:00 AM,0,N,Front to Rear
20181063755,12/26/2018 06:27:00 PM,1,N,Front to Rear
20181063800,12/26/2018 06:26:00 PM,0,Y,Front to Rear
20181063930,12/26/2018 05:40:00 PM,0,Y,Front to Rear
20181063664,12/26/2018 05:32:00 PM,1,N,Front to Rear
20181063718,12/26/2018 05:30:00 PM,1,N,Front to Rear
20181063654,12/26/2018 05:25:00 PM,0,N,Front to Rear
20181063617,12/26/2018 05:02:00 PM,0,Y,Front to Rear
20181063618,12/26/2018 05:00:00 PM,1,Y,Front to Rear
20181063513,12/26/2018 04:21:00 PM,0,N,Front to Rear
20181063452,12/26/2018 04:00:00 PM,1,N,Front to Rear
20181063446,12/26/2018 03:54:00 PM,0,Y,Front to Rear
20181063607,12/26/2018 03:34:00 PM,0,N,Front to Rear
20181063399,12/26/2018 02:45:00 PM,0,N,Front to Rear
20181063136,12/26/2018 01:25:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181063126,12/26/2018 01:10:00 PM,0,N,Front to Rear
20181062974,12/26/2018 12:00:00 PM,0,N,Front to Rear
20181063048,12/26/2018 11:41:00 AM,0,Y,Front to Rear
20181062875,12/26/2018 10:55:00 AM,0,N,Front to Rear
20181062816,12/26/2018 10:24:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181062791,12/26/2018 10:09:00 AM,1,N,Front to Rear
20181062669,12/26/2018 09:00:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181062457,12/26/2018 06:55:00 AM,0,N,Front to Rear
20181062170,12/26/2018 03:00:00 AM,0,Y,SIDESWIPE - SAME DIRECTION
20181061829,12/25/2018 11:50:00 PM,2,N,HEAD-ON
20181061803,12/25/2018 11:26:00 PM,0,N,HEAD-ON
20181061642,12/25/2018 08:48:00 PM,0,N,Front to Rear
20181061590,12/25/2018 08:21:00 PM,1,N,Front to Rear
20181061566,12/25/2018 07:56:00 PM,0,Y,Front to Rear
20181061581,12/25/2018 07:13:00 PM,0,N,Front to Rear
20181061354,12/25/2018 04:44:00 PM,0,N,HEAD-ON
20181061379,12/25/2018 04:25:00 PM,0,N,Front to Rear
20181061297,12/25/2018 03:45:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181061340,12/25/2018 01:54:00 PM,0,Y,Front to Rear
20181061161,12/25/2018 01:43:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181060985,12/25/2018 10:17:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181060098,12/24/2018 09:34:00 PM,0,Y,Front to Rear
20181060060,12/24/2018 09:05:00 PM,0,N,Front to Rear
20181059959,12/24/2018 07:50:00 PM,0,N,Front to Rear
20181059892,12/24/2018 06:54:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181059839,12/24/2018 06:10:00 PM,3,N,Front to Rear
20181059860,12/24/2018 06:00:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181059813,12/24/2018 05:50:00 PM,1,N,SIDESWIPE - SAME DIRECTION
20181059770,12/24/2018 05:11:00 PM,0,Y,Front to Rear
20181059704,12/24/2018 04:24:00 PM,0,Y,Front to Rear
20181059626,12/24/2018 03:36:00 PM,1,N,Front to Rear
20181059495,12/24/2018 01:53:00 PM,0,N,Front to Rear
20181059441,12/24/2018 01:05:00 PM,0,N,Front to Rear
20181059444,12/24/2018 01:05:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181059416,12/24/2018 12:43:00 PM,2,Y,Front to Rear
20181059481,12/24/2018 12:41:00 PM,0,Y,Front to Rear
20181059413,12/24/2018 12:40:00 PM,2,N,Front to Rear
20181059394,12/24/2018 12:20:00 PM,0,N,Front to Rear
20181059389,12/24/2018 12:19:00 PM,0,N,Front to Rear
20181059364,12/24/2018 12:03:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181059397,12/24/2018 11:57:00 AM,0,N,Front to Rear
20181059333,12/24/2018 11:39:00 AM,0,N,Front to Rear
20181059284,12/24/2018 11:00:00 AM,0,N,Front to Rear
20181059273,12/24/2018 10:55:00 AM,1,N,Front to Rear
20181059259,12/24/2018 10:25:00 AM,0,N,Front to Rear
20181058970,12/24/2018 06:33:00 AM,0,N,Front to Rear
20181058916,12/24/2018 05:40:00 AM,0,N,HEAD-ON
20181058854,12/24/2018 04:30:00 AM,0,N,Front to Rear
20181060014,12/24/2018 12:00:00 AM,0,Y,Front to Rear
20181057884,12/23/2018 08:12:00 PM,1,Y,Front to Rear
20181057891,12/23/2018 07:55:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181057675,12/23/2018 05:35:00 PM,1,Y,Front to Rear
20181057655,12/23/2018 05:30:00 PM,0,N,Front to Rear
20181057549,12/23/2018 03:45:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181057588,12/23/2018 03:38:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181057457,12/23/2018 02:46:00 PM,0,N,Front to Rear
20181057463,12/23/2018 02:45:00 PM,2,N,Front to Rear
20181057465,12/23/2018 02:42:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181057485,12/23/2018 02:30:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181057493,12/23/2018 02:20:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181057396,12/23/2018 01:45:00 PM,0,N,Front to Rear
20181057377,12/23/2018 01:13:00 PM,0,Y,Front to Rear
20181057324,12/23/2018 12:41:00 PM,1,N,Front to Rear
20181057344,12/23/2018 12:20:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181057304,12/23/2018 12:15:00 PM,0,N,Front to Rear
20181057248,12/23/2018 11:45:00 AM,0,Y,Front to Rear
20181057040,12/23/2018 07:20:00 AM,0,Y,Front to Rear
20181056802,12/23/2018 04:48:00 AM,1,Y,Front to Rear
20181056731,12/23/2018 04:31:00 AM,0,Y,HEAD-ON
20181056695,12/23/2018 04:10:00 AM,0,N,Front to Rear
20181056672,12/23/2018 03:07:00 AM,0,Y,Front to Rear
20181056576,12/23/2018 02:56:00 AM,0,N,Front to Rear
20181056586,12/23/2018 02:55:00 AM,0,Y,Front to Rear
20181056359,12/23/2018 12:35:00 AM,0,Y,Front to Rear
20181056355,12/23/2018 12:00:00 AM,0,Y,Front to Rear
20181057494,12/23/2018 12:00:00 AM,1,N,Front to Rear
20181056296,12/22/2018 11:32:00 PM,5,Y,Front to Rear
20181056111,12/22/2018 10:32:00 PM,2,N,HEAD-ON
20181056074,12/22/2018 09:48:00 PM,1,Y,Front to Rear
20181056031,12/22/2018 09:20:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181055844,12/22/2018 06:55:00 PM,0,N,Front to Rear
20181055923,12/22/2018 06:35:00 PM,0,N,Front to Rear
20181055847,12/22/2018 06:27:00 PM,0,N,Front to Rear
20181055785,12/22/2018 06:20:00 PM,0,N,HEAD-ON
20181055635,12/22/2018 04:21:00 PM,0,Y,HEAD-ON
20181055546,12/22/2018 04:09:00 PM,0,N,Front to Rear
20181055527,12/22/2018 03:57:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181055502,12/22/2018 03:38:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181055469,12/22/2018 03:26:00 PM,2,Y,Front to Rear
20181055393,12/22/2018 02:40:00 PM,4,N,Front to Rear
20181055413,12/22/2018 02:10:00 PM,0,N,Front to Rear
20181055346,12/22/2018 01:50:00 PM,0,N,Front to Rear
20181055323,12/22/2018 01:34:00 PM,1,N,Front to Rear
20181055324,12/22/2018 01:22:00 PM,0,Y,Front to Rear
20181055321,12/22/2018 01:18:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181055307,12/22/2018 01:00:00 PM,0,N,Front to Rear
20181055273,12/22/2018 12:48:00 PM,0,N,Front to Rear
20181055357,12/22/2018 12:32:00 PM,0,Y,Front to Rear
20181055206,12/22/2018 12:01:00 PM,0,N,Front to Rear
20181055180,12/22/2018 11:40:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181055138,12/22/2018 11:00:00 AM,0,Y,SIDESWIPE - SAME DIRECTION
20181055151,12/22/2018 10:49:00 AM,0,N,Front to Rear
20181055078,12/22/2018 10:25:00 AM,0,N,Front to Rear
20181055189,12/22/2018 10:24:00 AM,0,N,Front to Rear
20181055049,12/22/2018 10:00:00 AM,0,N,Front to Rear
20181054871,12/22/2018 07:30:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181054427,12/22/2018 02:08:00 AM,1,Y,Front to Rear
20181056199,12/22/2018 12:00:00 AM,0,Y,HEAD-ON
20181054166,12/21/2018 11:14:00 PM,3,N,HEAD-ON
20181054057,12/21/2018 09:53:00 PM,0,N,Front to Rear
20181053931,12/21/2018 08:35:00 PM,0,N,HEAD-ON
20181053851,12/21/2018 07:51:00 PM,0,Y,Front to Rear
20181053818,12/21/2018 07:40:00 PM,0,N,Front to Rear
20181053767,12/21/2018 07:20:00 PM,3,Y,Front to Rear
20181053760,12/21/2018 06:42:00 PM,1,N,Front to Rear
20181053675,12/21/2018 06:35:00 PM,1,N,Front to Rear
20181053664,12/21/2018 06:20:00 PM,1,N,Front to Rear
20181053611,12/21/2018 06:09:00 PM,0,N,Front to Rear
20181053656,12/21/2018 05:30:00 PM,0,N,Front to Rear
20181053597,12/21/2018 05:20:00 PM,0,N,Front to Rear
20181053490,12/21/2018 05:08:00 PM,0,N,Front to Rear
20181053484,12/21/2018 05:05:00 PM,0,N,Front to Rear
20181053481,12/21/2018 05:03:00 PM,0,Y,Front to Rear
20181053411,12/21/2018 04:50:00 PM,0,N,Front to Rear
20181053439,12/21/2018 04:45:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181053537,12/21/2018 04:40:00 PM,0,N,Front to Rear
20181053410,12/21/2018 04:36:00 PM,0,N,Front to Rear
20181053645,12/21/2018 04:32:00 PM,0,N,Front to Rear
20181053480,12/21/2018 04:30:00 PM,0,N,Front to Rear
20181053378,12/21/2018 04:20:00 PM,0,N,Front to Rear
20181053382,12/21/2018 03:58:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181053348,12/21/2018 03:52:00 PM,1,N,Front to Rear
20181053475,12/21/2018 03:35:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181053290,12/21/2018 03:29:00 PM,0,Y,Front to Rear
20181053267,12/21/2018 03:20:00 PM,0,N,Front to Rear
20181053248,12/21/2018 03:06:00 PM,2,N,HEAD-ON
20181053219,12/21/2018 03:04:00 PM,0,N,Front to Rear
20181053509,12/21/2018 02:44:00 PM,0,N,Front to Rear
20181053173,12/21/2018 02:39:00 PM,0,N,HEAD-ON
20181053162,12/21/2018 02:39:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181053255,12/21/2018 02:38:00 PM,0,N,Front to Rear
20181053145,12/21/2018 02:20:00 PM,1,N,Front to Rear
20181053121,12/21/2018 02:00:00 PM,0,Y,Front to Rear
20181053104,12/21/2018 01:50:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181053083,12/21/2018 01:43:00 PM,1,N,Front to Rear
20181053058,12/21/2018 01:29:00 PM,1,N,Front to Rear
20181053050,12/21/2018 01:15:00 PM,0,N,Front to Rear
20181053022,12/21/2018 01:05:00 PM,0,N,Front to Rear
20181052992,12/21/2018 12:57:00 PM,0,N,Front to Rear
20181052898,12/21/2018 12:05:00 PM,1,Y,Front to Rear
20181052888,12/21/2018 11:55:00 AM,0,N,Front to Rear
20181052925,12/21/2018 11:52:00 AM,0,N,Front to Rear
20181052931,12/21/2018 11:50:00 AM,0,N,Front to Rear
20181052856,12/21/2018 11:45:00 AM,0,N,Front to Rear
20181052870,12/21/2018 11:40:00 AM,0,N,Front to Rear
20181052885,12/21/2018 11:40:00 AM,1,N,Front to Rear
20181052940,12/21/2018 11:40:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181052918,12/21/2018 11:23:00 AM,0,N,Front to Rear
20181052820,12/21/2018 11:13:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181052813,12/21/2018 11:00:00 AM,0,N,Front to Rear
20181052823,12/21/2018 10:30:00 AM,1,N,Front to Rear
20181052669,12/21/2018 09:40:00 AM,2,N,Front to Rear
20181052621,12/21/2018 09:39:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181052511,12/21/2018 08:40:00 AM,0,N,Front to Rear
20181052475,12/21/2018 08:24:00 AM,0,N,Front to Rear
20181052445,12/21/2018 08:00:00 AM,0,Y,SIDESWIPE - SAME DIRECTION
20181052412,12/21/2018 07:50:00 AM,0,N,Front to Rear
20181052401,12/21/2018 07:50:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181052403,12/21/2018 07:45:00 AM,0,N,Front to Rear
20181052380,12/21/2018 07:41:00 AM,0,N,Front to Rear
20181052347,12/21/2018 07:30:00 AM,0,N,Front to Rear
20181052369,12/21/2018 07:30:00 AM,0,N,SIDESWIPE - SAME DIRECTION
20181052365,12/21/2018 07:30:00 AM,3,N,Front to Rear
20181052367,12/21/2018 07:30:00 AM,0,N,Front to Rear
20181052323,12/21/2018 07:13:00 AM,0,N,Front to Rear
20181052306,12/21/2018 06:57:00 AM,0,Y,SIDESWIPE - SAME DIRECTION
20181052322,12/21/2018 06:31:00 AM,0,N,Front to Rear
20181051817,12/21/2018 01:05:00 AM,0,Y,Front to Rear
20181051646,12/21/2018 12:21:00 AM,0,Y,Front to Rear
20181053756,12/21/2018 12:00:00 AM,0,Y,Front to Rear
20181053331,12/21/2018 12:00:00 AM,0,N,Front to Rear
20181053388,12/21/2018 12:00:00 AM,1,N,Front to Rear
20181053631,12/21/2018 12:00:00 AM,0,N,Front to Rear
20181053633,12/21/2018 12:00:00 AM,0,N,Front to Rear
20181051557,12/20/2018 11:32:00 PM,0,N,Front to Rear
20181051430,12/20/2018 10:46:00 PM,0,N,Front to Rear
20181051301,12/20/2018 08:55:00 PM,0,N,Front to Rear
20181051194,12/20/2018 08:45:00 PM,0,N,SIDESWIPE - SAME DIRECTION
20181051192,12/20/2018 08:22:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181051129,12/20/2018 07:57:00 PM,1,N,HEAD-ON
20181051098,12/20/2018 07:30:00 PM,0,N,Front to Rear
20181051080,12/20/2018 07:27:00 PM,0,N,HEAD-ON
20181051162,12/20/2018 07:17:00 PM,0,N,Front to Rear
20181051005,12/20/2018 07:15:00 PM,1,N,Front to Rear
20181051157,12/20/2018 07:15:00 PM,0,N,Front to Rear
20181051064,12/20/2018 07:10:00 PM,1,N,Front to Rear
20181051050,12/20/2018 07:05:00 PM,0,N,Front to Rear
20181051067,12/20/2018 06:47:00 PM,0,Y,SIDESWIPE - SAME DIRECTION
20181051000,12/20/2018 06:28:00 PM,0,N,HEAD-ON
20181051066,12/20/2018 06:25:00 PM,1,Y,Front to Rear
20181050972,12/20/2018 06:10:00 PM,0,Y,Front to Rear
20181050937,12/20/2018 06:00:00 PM,1,N,Front to Rear
20181050906,12/20/2018 06:00:00 PM,0,N,SIDESWIPE - SAME DIRECTION
