APN,DistrictCode,Council District,AddressFullAddress,AddressCity,AddressPostalCode,2017 LAND,2017 IMPR,appraisal_value,2017 TOTAL ASSD,finished_area
07215000700,USD ,7,2103 SCOTT AVE,NASHVILLE,37216,184000,82200,266200,66550,1953.0
08106018300,USD ,21,2649 DELK AVE,NASHVILLE,37208,55800,52200,108000,27000,704.0
104090H01100CO,USD ,24,3626 WEST END AVE 205,NASHVILLE,37205,56000,194600,250600,62650,815.0
107140A04100CO,USD ,13,1254 MASSMAN DR,NASHVILLE,37217,17000,62900,79900,19975,1152.0
137040B05000CO,GSD ,33,2257 ARBOR POINTE WAY,HERMITAGE,37076,55000,130600,185600,46400,2325.0
08507002800,USD ,14,3147 STAFFORD DR,NASHVILLE,37214,28800,143000,171800,42950,1855.0
093061J13700CO,CBID,19,415 CHURCH ST 1815,NASHVILLE,37219,79200,452300,531500,132875,1091.0
104060A06200CO,USD ,18,3415 WEST END AVE B-701,NASHVILLE,37203,35000,104100,139100,34775,802.0
11607000700,BM  ,23,115 LYNNWOOD TER,NASHVILLE,37205,1023000,812700,1835700,458925,4623.25
10405002300,USD ,24,3804 MURPHY RD,NASHVILLE,37209,250000,131700,381700,95425,1197.0
06103005500,USD ,8,4711 GRINSTEAD PL,NASHVILLE,37216,75000,143400,218400,54600,1356.0
09012015200,USD ,20,514 ANNEX AVE,NASHVILLE,37209,91000,135000,226000,56500,1423.0
163110D01500CO,USD ,32,2962 BABY RUTH LN 15,ANTIOCH,37013,26000,88600,114600,28650,1452.0
13401002100,USD ,13,509 VINSON DR,NASHVILLE,37217,38500,113200,151700,37925,1375.0
171030A11000CO,USD ,4,5153 FREDERICKSBURG WAY E,BRENTWOOD,37027,78000,323400,401400,100350,3279.0
117030A04000CO,USD ,25,3000 HILLSBORO PIKE 40,NASHVILLE,37215,35000,160300,195300,48825,1107.0
105013A00200CO,USD ,19,1410 B EDGEHILL AVE,NASHVILLE,37212,160000,143000,303000,75750,2617.0
082090J00500CO,USD ,19,1500 4TH AVE N 202,NASHVILLE,37208,58000,195000,253000,63250,730.0
12002017700,USD ,13,1337 MERCURY DR,NASHVILLE,37217,22500,104500,127000,31750,912.0
14701001400,USD ,26,348 LYNN DR,NASHVILLE,37211,54000,259900,313900,78475,2499.1601600000004
18700008900,GSD ,31,626 RICE HILL RD,NOLENSVILLE,37135,227600,175400,403000,100750,2055.0
160140B11500CO,USD ,4,5819 BRENTWOOD TRCE,BRENTWOOD,37027,32000,126000,158000,39500,992.0
091060L02200CO,USD ,20,1034 TREATY OAKS DR,NASHVILLE,37209,60000,0,60000,15000,0.0
06003019200,USD ,3,3110 B BRICKDALE LN,NASHVILLE,37207,16500,48900,65400,26160,768.0
155080C11700CO,GSD ,35,1413 CALLOWAY CT,NASHVILLE,37221,60000,282900,342900,85725,2533.0
172090A08500CO,GSD ,4,605 BANBURY PL,BRENTWOOD,37027,80000,328800,408800,102200,3122.0
04105002000,GSD ,3,4175 CREEK TRAIL DR,WHITES CREEK,37189,67000,376300,443300,110825,3116.0
